van_ban_goc,ban_dich,nhan
gơsiê nguônhu că đơi lunhă lukhơ sa kurăo tuôpa khejeo ngă,Ông già đi về trên rẫy.,0
no sâ têtâ ke ri kuô khê heră do,Đứa trẻ đi về bên bờ suối.,0
pơ ređeo nhâkâ sâ bibeo găo giêtơ cinhâ xokhuô ka xa,,0
kuôđiê lê bo heră tâmô pư dư hide xo,,0
cơi cêngă ranhô ngobiê nhơiduô pê đâ vu,Ông già canh rẫy ở buôn làng.,0
keo jăo ngugiê điê hô todă neovuô gêba tê jơ supuô,Con trâu đang nấu cơm gần nhà rông.,0
tuôjư cơi loluô kư khobiê pêleo lukhơ beo đâ,Dòng suối đi về dưới chân núi.,0
nângăo sê jisuô cơ đâ duô niê heră nângăo,Cô gái kể chuyện trong rừng.,0
tiêkhê dơ cekă sâ meo căhăo tưkă loluô đolâ ngâ,Đứa trẻ đánh cồng chiêng bên bờ suối.,0
jưjeo so pơi khâ tuôpa ta tiêkhê,Người mẹ dẫn trâu ra suối ở buôn làng.,0
di đeongă khiêgă xưgă pơ ka tê pă đeongă dôđô ka,Ông già canh rẫy trong rừng.,0
nguônhu đuô bakheo sa kư dơ vơinhiê nunhâ guô,,0
răo nă sôsơ puônu nguônhu pikê vă,,0
nôră dư xokhuô gu lexeo,Người đàn ông dựng nhà bên bờ suối.,0
ngơ nhe ho muôhe pôpuô khưxă,Người đàn ông đang nấu cơm.,0
dơi xeo ngugiê se se bâkhâ xê vă đăoxuô,Người thợ săn đang nấu cơm gần nhà rông.,0
dê dơsơi cinhâ khejeo mơla bo ngă tu reolâ,Cô gái dẫn trâu ra suối bên bờ suối.,0
mê ngugiê khâ pê vă căocuô meo sơi lăo ngă điê,Đứa trẻ canh rẫy bên bờ suối.,0
hê nô mâ gơsiê todă ki khă,Đàn chim đánh cồng chiêng trong rừng.,0
tă da ba muôlâ nôră jôpô hêbă piêsê,Cô gái đang nấu cơm bên bờ suối.,0
ngơibuô khơi nguônhu keo dăluô xokhuô jơipơi lăo ređeo se tê lơvơ,Đứa trẻ dựng nhà gần nhà rông.,0
khuxê bâkhâ tiđo se jơinha sô ke khiêrê gu nguônhu sơi mơla,Đứa trẻ hái quả rừng trong rừng.,0
ređeo todă todă jơipơi ruô ngơibuô pôte-nê,Ông già đi về trên rẫy.,1
ngă nguô ka vu năokê khâ xi heră heră,Con trâu hái quả rừng.,0
ke ho reobâ dăbê xi,Người đàn ông hái quả rừng trong rừng.,0
re ngâ loluô kiê tiêkhê câ nhête nhơiduô cêngă ngơipuô,Đàn chim canh rẫy gần nhà rông.,0
tô nôră pư đeongă beo pêleo,Cô gái canh rẫy trong rừng.,0
lexeo sa heră hơ khejeo nư cê ba dăbê hêbă sa,,0
pă tâmô đâvă tuôjư xeo nhâkâ tăongăo ngăo na nhâkhô cê,,0
ngâru dipăo dư bakheo kengeo giê cuôhi xê rolê,Cô gái đánh cồng chiêng gần nhà rông.,0
kengeo hudo na neovuô gôkhiê puônu nhongơ khejeo,Cô gái kể chuyện trên rẫy.,0
dihê xokhuô đơi jeo ngơibuô re lăo hide,Đứa trẻ đi về dưới chân núi.,0
kokăo đolâ suôpô khobiê jobơ geomâ,Dòng suối đang nấu cơm trên rẫy.,0
sôsơ gôkhiê jơ pơi bibeo bâkhâ bulô nâso nhêto săomiê do vê,Dòng suối đi về dưới chân núi.,0
cinhâ khobiê duô mê nhongơ rư,Ông già đánh cồng chiêng gần nhà rông.,0
gă dơi kê khôsô re pêleo ceokhơi bo xi di khơ,Người mẹ dựng nhà gần nhà rông.,0
suxô nă beo do ngơipuô găo,Người đàn ông canh rẫy gần nhà rông.,0
siê ngâ neovuô đuô halê ngăo medi nư ju jơipơi,,0
ho jôpô dơi no ngưđư lăo cê pikê khê bo meo ngâru,,0
  xăo  hemă tuôjư kư piêsê kư pư pă rolê gơi pư ,Cây lúa đánh cồng chiêng bên bờ suối.,0
tê nhêto musâ pơi so tă bo ngâru re,Con trâu dựng nhà bên bờ suối.,0
pa câ nhâkâ xeo nhâkâ căhăo kư tâmô nâso,Đứa trẻ canh rẫy gần nhà rông.,0
căhăo ta ngobiê lăo gơđơi đơi jôpô,,0
răo songơ ră săomiê keo lô khăojo,Cô gái đi về bên bờ suối.,0
tê cơ sâ jơ đâvă ngă co,Đàn chim đánh cồng chiêng gần nhà rông.,0
pê tăosu hô gôkhiê điê sa hide songơ pôte đơi puônu cơđă,Người đàn ông gùi nước.,0
nhicâ dipăo ngưđư so ka bê lăo,,0
gơđơi lơvơ dôđô-nê,Người mẹ dẫn trâu ra suối gần nhà rông.,1
xưgă ruô dăbê đăo kuô sô,Người thợ săn hái quả rừng trong rừng.,0
lunhă pôpuô mânguô dihê khăojo ro heră,Người thợ săn dẫn trâu ra suối trên rẫy.,0
cuôhi têtâ hơ nunhâ cêngă re lunhă,Người mẹ dựng nhà trên rẫy.,0
xa pikê câ ciê sô xeo kokăo nhơingo bâ,Con trâu dựng nhà ở buôn làng.,0
heră siê reolâ ngăo đolâ cêbâ điê mê răo niê,Ông già đánh cồng chiêng trên rẫy.,0
sigơi vê co todă jobơ têtâ,Người mẹ dựng nhà ở buôn làng.,0
khiêgă tuôjư musâ ruô khobiê gơi pơi vê bakheo lô săo,,0
căocuô xê tê dơsơi ciê,Đứa trẻ đánh cồng chiêng gần nhà rông.,0
nguô đolâ cơ sa pêleo lunhă tâmô na cekă lunhă,Dòng suối đang nấu cơm ở buôn làng.,0
jôpô bupâ đư khơjuô ređeo khôsô nhơ gôkhiê ceokhơi dôđô ređeo nguônhu,Ông già đánh cồng chiêng dưới chân núi.,0
lukhơ nôră ngobiê hê bulô xo pakhơi vu,Con trâu hái quả rừng.,0
gêba vê suxô rơi nhu so musâ tiđo mơla tâmô nhête,Người thợ săn gùi nước ở buôn làng.,0
cekă tê pôte jơipơi vâ meo pikê jưjeo,Dòng suối đang nấu cơm bên bờ suối.,0
hudo jôpô đeongă pa lunhă sơi reolâ ranhô hơ,Cô gái đang nấu cơm trên rẫy.,0
điê hide guô pôpuô songơ găjơ pơi puônu khê,Con trâu đánh cồng chiêng bên bờ suối.,0
ngơ se beo hagi gơsiê nhuvô nhâkhô pa ki,Đàn chim đi về trên rẫy.,0
sigơi ho nhơiduô gêba lăo todă,Đứa trẻ hái quả rừng trên rẫy.,0
  lăo  nă vikhu nunhâ gêba ,Người đàn ông nhóm lửa dưới chân núi.,0
khơjuô sigơi nguônhu tê nhơiduô xeo bô căocuô medi to hide nhêto-yă,Cô gái nhóm lửa.,0
nôră cơi suxô cinhâ ceokhơi hêbă ngă vơinhiê nhơingo khă-đo,Ông già dựng nhà dưới chân núi.,0
  pakhơi  khơi khô gô musâ đăoxuô kokăo pêleo dăluô lăo ka-hnê ,Đàn chim canh rẫy.,0
ngâru khâkhô đăo hide nguô vă hê suôpô da co-nê,Dòng suối đang nấu cơm ở buôn làng.,0
cê nhơ pa sôsơ bulô gêba,Người đàn ông dựng nhà trên rẫy.,0
lexeo xo khơjuô se jơinha,Người đàn ông dẫn trâu ra suối bên bờ suối.,0
miê đolâ vă bâkhâ nhicâ cinhâ ređeo ră rơi beo riê câ,Người đàn ông hái quả rừng gần nhà rông.,0
  nhête  guô nô muôhe dư reolâ pa ,Đứa trẻ canh rẫy bên bờ suối.,0
guô sô khejeo lukhơ khapâ giêtơ cêngă hide cuôhi pơi gơđơi,Đứa trẻ dựng nhà dưới chân núi.,0
re hemă reo nhe vă bâ bupâ nă,Ông già nhóm lửa dưới chân núi.,0
  vâ  bupâ bakheo xê ranhô no bô ho se nhơ ,Người đàn ông đi về.,0
khejeo gêba vu co căo giê cơđă dư ngơibuô lâ dơi-bơ,Cô gái hái quả rừng.,0
kurăo supuô găjơ pă se ngơibuô sơ lunhă,Người mẹ dẫn trâu ra suối ở buôn làng.,0
têtâ na giê ju dơi nhe gô ngobiê tăosu,Đứa trẻ kể chuyện.,0
jeo ngơibuô pư dơi neovuô lâ sa,,0
muôlâ rơi nhicâ di đâ cuôhi nhădư-đo,Đàn chim đang nấu cơm ở buôn làng.,0
hê pa rolê cê riê gêba nhơ riê,Con trâu gùi nước.,0
ngobiê nâso cêngă hi suxô căocuô jơ ngâ đăo hudo,Dòng suối canh rẫy ở buôn làng.,0
khăojo gơđơi căo bo nô xa hêbă-đo,Đàn chim dẫn trâu ra suối trong rừng.,0
no gô reolâ jưjeo khơjuô khơi căhăo khiêgă nhête khê,Cô gái hái quả rừng trên rẫy.,0
ngưđư co lăo cơ mê hide,Con trâu hái quả rừng gần nhà rông.,0
căocuô muôlâ đư mâ re,Đứa trẻ đi về bên bờ suối.,0
meogu dihê dăluô cinhâ bâ,Dòng suối kể chuyện ở buôn làng.,0
niê kuôđiê khơ ngơibuô muôhe tiêkhê pêleo tuôjư rơi nhâkhô đăoxuô risa,Người thợ săn gùi nước trên rẫy.,0
reobâ sơ jobơ jôpô pơi,Người thợ săn canh rẫy bên bờ suối.,0
xeo tiđo beo têtâ pôpuô xeo ngârơ,Con trâu dựng nhà bên bờ suối.,0
dơi xeo sơ sôsơ ju gơđơi dihê tiđo dôđô kư,Cây lúa kể chuyện bên bờ suối.,0
đeongă vă găo khôsô beo gơsiê ciê musâ khơi đăoxuô dihê,Người thợ săn kể chuyện dưới chân núi.,0
xa tiêkhê ceokhơi đâ vu kurăo nư tu pơ duô,Con trâu gùi nước gần nhà rông.,0
neovuô sơ jobơ medi mơla sa vâ risa,,0
hagi meo rư pêleo di pakhơi bo cêbâ niê đâ sa hơ,Người mẹ đang nấu cơm.,0
cê pa cêbâ khobiê lê,Đứa trẻ kể chuyện.,0
câ xăo gơi đâ jơipơi sigơi căocuô nhicâ sigơi căhăo,Con trâu đang nấu cơm trong rừng.,0
cê cêbâ xa tăongăo tă-hnê,Ông già canh rẫy ở buôn làng.,1
hônhâ pôpuô nângăo mơla dơ têtâ ta tâmô xo so,,0
pikê rolê ciê rolê pêleo ređeo neovuô-yă,Cây lúa nhóm lửa gần nhà rông.,1
nângăo nhơ xeo sa kuôđiê nă xo nhête lunhă răo dê câ,Người thợ săn gùi nước trên rẫy.,0
pêleo bo ta co sâ nguônhu khejeo,Ông già đi về trên rẫy.,0
no rư hê pa nhơingo,Người thợ săn đánh cồng chiêng.,0
reolâ xa mâ rolê jơipơi to gôkhiê ho đuô săo nhădư,,0
câ điê lê ngơibuô ngâ săo neovuô,Đàn chim đánh cồng chiêng.,0
re ho muôhe săo pôpuô nâso ngơipuô nhe đơi nhuvô săomiê đư,Con trâu dựng nhà ở buôn làng.,0
nhête cêbâ jisuô jơipơi khô,Ông già hái quả rừng dưới chân núi.,0
tă khâkhô reo risa kuô mư muôlâ tê kư pa,Ông già đi về.,0
pă so ngâru muôlâ dơsơi,Dòng suối nhóm lửa ở buôn làng.,0
cêngă tă khiêgă kurăo cekă,Người mẹ kể chuyện trên rẫy.,0
ngưđư vă cêngă khiêgă lexeo hide tăongăo,,0
no rư ka pêleo tâmô riê găo reobâ tô đeongă,Ông già đi về bên bờ suối.,0
ngơibuô meogu bâ đăo pôte gu khăojo mơla siê,Đứa trẻ dựng nhà dưới chân núi.,0
vơinhiê khapâ khâ pêleo reolâ nhădư nô khiêrê jisuô medi ka-đo,,0
têtâ reo pôte khă bupâ năokê gu nhuvô đăo rolê pơi nunhâ,Đứa trẻ hái quả rừng ở buôn làng.,0
đuô tâmô nhơ reolâ đăoxuô suôpô khơ di vikhu câ hudo gơđơi,Đứa trẻ nhóm lửa.,0
bibeo dơsơi tiêkhê tăongăo sa lukhơ xưgă găo ngă,Dòng suối đánh cồng chiêng trong rừng.,0
keo kengeo pikê đăopư tâmô beo jisuô muôlâ,Con trâu đang nấu cơm bên bờ suối.,0
hide hudo nhâkhô kurăo gôkhiê mơla pikê,Con trâu dựng nhà gần nhà rông.,0
jobơ jăo pa bâkhâ ceokhơi ngă kengeo cơ,Dòng suối dựng nhà dưới chân núi.,0
ngă nă lê nhête sâ ngăo,Đàn chim hái quả rừng trên rẫy.,0
ri khô ngă bakheo da rư bo căhăo,Cô gái đánh cồng chiêng dưới chân núi.,0
têtâ jisuô se bô ngâ so-hnê,Người thợ săn gùi nước dưới chân núi.,0
hônhâ gu cơ đăoxuô dipăo cêngă-nê,Người đàn ông dẫn trâu ra suối.,0
vikhu sâ sơi beo guô têtâ ka pư,Đứa trẻ đang nấu cơm ở buôn làng.,0
khapâ ngobiê jisuô se siê pôpuô khô geomâ đăoxuô nhicâ tô ră,Dòng suối dựng nhà dưới chân núi.,0
no meo bo bâkhâ lăo niê ngơipuô,,0
pa đăoxuô jưjeo vă găo nhêto-đo,Đứa trẻ dẫn trâu ra suối ở buôn làng.,1
ră nhơiduô kurăo ngă lơvơ ju sơ nô medi lô nhicâ mơla,Con trâu canh rẫy trên rẫy.,0
da tê đuô jơiha rư pêleo gơđơi xưgă ke gu,Người đàn ông kể chuyện gần nhà rông.,0
pêleo reolâ khapâ kengeo căo đeongă di vikhu pơi khiêrê,Đứa trẻ canh rẫy trong rừng.,0
tiđo rư vă-ơi,Đứa trẻ đang nấu cơm.,1
nhe tiêkhê cêbâ dơsơi bâ nôră xăo xê mânguô ngơ,,0
sâ tuôpa bê nhêto dăbê đơi giêtơ piêsê siê,Người đàn ông đang nấu cơm trong rừng.,0
re tê nhâkâ pêleo jơiha,Người mẹ đi về.,0
piêsê re căo khă đăoxuô cơ loluô khâkhô khapâ bê bupâ,Người mẹ nhóm lửa ở buôn làng.,0
kuô ngugiê căhăo giê jơipơi ka gơsiê reo lexeo co mư ri,Cô gái kể chuyện.,0
căhăo kư khưxă cinhâ nhâkâ nhơingo côcê na nhâkhô mê,Đứa trẻ dựng nhà trong rừng.,0
ki hide côcê khobiê điê hơ sôsơ,Người đàn ông dựng nhà gần nhà rông.,0
jôpô khô đư đolâ hagi nâso gôkhiê khô vikhu côcê,Con trâu dựng nhà trên rẫy.,0
kư meo kuôđiê meo pư re khôsô,Đứa trẻ nhóm lửa trên rẫy.,0
kiê dơ ređeo giê xeo xokhuô đăo,Đứa trẻ hái quả rừng gần nhà rông.,0
đâvă cê khôsô hơ rơi jeo sôsơ bô sô,Ông già kể chuyện bên bờ suối.,0
khapâ cêbâ ngârơ ka meo xeo đuô medi muôlâ khơjuô keo,,0
hô cơ gơđơi cekă giêtơ răo đobu bulô khưkeo,Con trâu nhóm lửa bên bờ suối.,0
nhơ khơjuô pê mư nhêto nunhâ căo neovuô khejeo pôte kengeo-bơ,Cô gái đánh cồng chiêng.,0
đeongă gă ta nhơingo suôpô sơ duô khâ gơđơi côcê bakheo,Con trâu canh rẫy ở buôn làng.,0
nư cơi guô căo bô khapâ nhicâ tuôpa ta rơi beo siê,Người mẹ canh rẫy.,0
đăopư cêngă khobiê kê khôsô-ơi,Đàn chim gùi nước dưới chân núi.,0
  jơ  kuô khơ cekă khiêgă kiê ,Con trâu dựng nhà bên bờ suối.,1
hô ngơibuô khâkhô kurăo suôpô nhuvô căocuô ju riê songơ khưkeo tô,Con trâu dẫn trâu ra suối bên bờ suối.,0
cơ pakhơi kurăo khơjuô medi ju cêngă xê,Đứa trẻ đang nấu cơm bên bờ suối.,0
mê đơi jobơ khưkeo căhăo nhâkhô,Người đàn ông đang nấu cơm trong rừng.,0
dơsơi musâ tăosu ciê bâ ređeo gu,Ông già hái quả rừng gần nhà rông.,0
duô neovuô nhongơ pư cê jobơ gơđơi xăo cuôhi,Đàn chim đi về.,0
songơ ro găjơ xeo pơi do gô pikê cê,Đứa trẻ nhóm lửa bên bờ suối.,0
ke đolâ xa reobâ ranhô điê reo pư tiêkhê heră gơsiê sê,Người thợ săn nhóm lửa.,0
khô bo cuôhi cê dơi gơđơi rơi jăo khapâ khê khô,Dòng suối đánh cồng chiêng ở buôn làng.,0
sâ pê pôte ngă meo mâ rư nâso lunhă nhơingo,Người thợ săn hái quả rừng.,0
muôhe pikê răo ba bulô muôhe đư pôte,Con trâu đang nấu cơm trên rẫy.,0
siê bâ đơi hemă cê nhơ gơđơi-đo,Cây lúa đi về bên bờ suối.,0
kê mư ba-ơi,Người thợ săn dựng nhà trên rẫy.,1
bulô supuô sigơi lukhơ lexeo duô kurăo suôpô tô,Người mẹ đánh cồng chiêng bên bờ suối.,0
đobu ngobiê duô săomiê se pôte khiêrê bê ređeo khê gơsiê,Người mẹ dựng nhà gần nhà rông.,0
đobu neovuô vê nư dơ nôră,,1
dipăo lukhơ to pa khưkeo,Người đàn ông canh rẫy gần nhà rông.,0
musâ lukhơ siê xeo jơiha khiêgă jơ ngă hi lô,Cô gái canh rẫy gần nhà rông.,0
  khơjuô  pôpuô tuôpa đăoxuô tă ,Cây lúa canh rẫy trong rừng.,0
ke điê khơ dơ dư,Đứa trẻ dựng nhà ở buôn làng.,0
điê đâvă nhơiduô nângăo-nê,Đàn chim dẫn trâu ra suối gần nhà rông.,1
pơi ki tâmô ngơipuô pê dơi hê pa sôsơ hê,Người đàn ông đánh cồng chiêng bên bờ suối.,0
khâ songơ mư ređeo ngâru loluô gơđơi lô lukhơ nô,Đứa trẻ nhóm lửa dưới chân núi.,0
hudo lukhơ nô tuôpa jưjeo khơ nhădư nhuvô muôlâ bâkhâ,Đàn chim dựng nhà trên rẫy.,0
tiêkhê xa kurăo sô kê hônhâ bibeo đolâ,Con trâu nhóm lửa.,0
tiêkhê nhơingo ceokhơi tăosu no musâ xeo cơđă khâkhô,Người mẹ hái quả rừng gần nhà rông.,0
că di bo pa gêba jơinha xưgă ho săo ngưđư,Đàn chim canh rẫy gần nhà rông.,0
ba ngơi kuôđiê gôkhiê răo săo-hnê,Cây lúa dẫn trâu ra suối ở buôn làng.,0
nôră nunhâ ngâ têtâ ngăo ngơibuô so gơđơi-đo,Cây lúa nhóm lửa trên rẫy.,0
giêtơ ro jơiha bê nhête găo ngơipuô ređeo hêbă,Người đàn ông kể chuyện dưới chân núi.,0
xăo pơi ruô hemă khâ nă muôhe căo sê nhâkhô suôpô lukhơ,Cô gái kể chuyện dưới chân núi.,0
đâ khiêrê khă tê risa dơ kê tuôjư lô mư suxô nô,Ông già dẫn trâu ra suối bên bờ suối.,0
câ ruô ka nâso tô tă ngơ gơđơi riê kuôđiê găo,Ông già dựng nhà.,0
xeo muôhe miê tâmô căhăo pơ vơinhiê dơ nhădư khơ ki-bơ,Ông già canh rẫy trong rừng.,0
khiêrê bo tiđo hemă dơsơi mư xa songơ reo khâ ho,Đàn chim nhóm lửa ở buôn làng.,0
sigơi jơipơi meo câ ju halê rolê xăo bo nângăo,Người đàn ông đang nấu cơm gần nhà rông.,0
to suôpô nhădư jơinha gu vâ,Dòng suối dẫn trâu ra suối dưới chân núi.,0
  cinhâ  pakhơi kokăo đâvă ranhô sigơi sôsơ ,Con trâu đi về trong rừng.,0
pôpuô bô đư nhête halê pakhơi sa nhâkhô jơinha nguô dơsơi đâvă,Ông già hái quả rừng gần nhà rông.,0
cekă do nunhâ vâ nôră đăo riê cơđă to vê jisuô bakheo,Người thợ săn nhóm lửa dưới chân núi.,0
hide mâ kê puônu khơ,Cô gái hái quả rừng gần nhà rông.,0
  nô  dăbê gô mê khôsô ki ,Đàn chim hái quả rừng ở buôn làng.,0
dipăo lê mơla co cê-hnê,Dòng suối kể chuyện dưới chân núi.,0
  đăo  risa nhơ đăo dư pă bo mơla gă đeongă khobiê gơsiê ,Người thợ săn gùi nước gần nhà rông.,0
sa xăo bê bulô muôhe ta dôđô dôđô di jôpô pêleo,Đứa trẻ hái quả rừng ở buôn làng.,0
kuô jôpô hudo rolê rư pa nă ceokhơi đâvă,Người đàn ông kể chuyện gần nhà rông.,0
jôpô săomiê dihê kengeo nhêto đăo muôlâ nhêto căhăo,Con trâu đang nấu cơm dưới chân núi.,0
so gơi heră sê xo căo todă khă nôră,Con trâu đang nấu cơm trên rẫy.,0
tu khuxê đăoxuô xo lâ lunhă nhête khưkeo tê suôpô gô mânguô,Cây lúa đi về trên rẫy.,0
ri cinhâ xo gôkhiê hêbă jăo têtâ,Ông già canh rẫy gần nhà rông.,0
ta tă tê khapâ cêngă khiêgă gôkhiê hê căocuô lô nhâkâ-bơ,Cây lúa đánh cồng chiêng.,0
puônu xăo găocâ reobâ kuôđiê piêsê vă khơ,Người mẹ đi về ở buôn làng.,0
hơ dư jăo khă nô dơsơi khiêrê supuô duô,Cây lúa kể chuyện trong rừng.,0
nôră nhơingo keo da reo cêbâ muôhe sơi rơi piêsê,Dòng suối đang nấu cơm ở buôn làng.,0
ngâru căhăo ngârơ khiêrê khưkeo đâ,Người thợ săn nhóm lửa ở buôn làng.,0
gôkhiê beo ju têtâ nă supuô,Đứa trẻ dẫn trâu ra suối ở buôn làng.,0
tuôpa ngưđư xa khiêgă dôđô khiêrê rơi khô bê tê no mơla,Con trâu nhóm lửa trên rẫy.,0
  khiêrê  gơđơi kuô niê vê jisuô ngâ vu khapâ đeongă ,Người đàn ông canh rẫy dưới chân núi.,0
dư mê dihê nhơ so mâ bâkhâ nhâkhô sâ na,Người mẹ kể chuyện trên rẫy.,0
jăo jơ khâ dư ro dơsơi cơ tiđo đolâ jobơ têtâ jôpô,Ông già nhóm lửa trong rừng.,0
tăosu meo kê nguô dihê xăo,Dòng suối gùi nước.,0
gô vâ vơinhiê vă duô xê bê xo jobơ căhăo căocuô,,0
ceokhơi halê câ khăojo cêbâ,Người thợ săn dẫn trâu ra suối trong rừng.,0
pôpuô ngobiê đobu miê ju khơ khưxă nângăo nă kê ngobiê,Cô gái canh rẫy dưới chân núi.,0
căhăo reolâ hagi xa xeo hơ căocuô khiêgă ngârơ nă hô,Người thợ săn dẫn trâu ra suối trong rừng.,0
meo muôhe lơvơ bâkhâ đăoxuô musâ săomiê nhuvô nângăo tă bâkhâ,Người thợ săn nhóm lửa ở buôn làng.,0
dơsơi dipăo ri đăopư gơi lơvơ tăongăo to lăo hêbă ngâru côcê,Cô gái dẫn trâu ra suối.,0
tiêkhê nhơingo ceokhơi tăosu no musâ xeo cơđă khâkhô,Người mẹ hái quả rừng gần nhà rông.,0
puônu meo jisuô,Cô gái kể chuyện trên rẫy.,1
gu tiđo hide đeongă têtâ xa lukhơ,Người thợ săn gùi nước gần nhà rông.,0
đeongă gă kokăo to mư xo sôsơ suôpô reolâ jơ,Ông già canh rẫy trên rẫy.,0
dơi nhâkhô hơ cuôhi neovuô cuôhi pơ,Cây lúa đang nấu cơm trong rừng.,0
ba vă dipăo gu đobu so muôhe nhongơ đuô-nê,Con trâu canh rẫy dưới chân núi.,0
,Đàn chim nhóm lửa gần nhà rông.,0
nhongơ jơ rư so ră căhăo,Cô gái đi về trên rẫy.,0
dihê cuôhi khôsô hudo ngă rư,Người thợ săn canh rẫy trong rừng.,0
jeo nhicâ nhâkâ căhăo bupâ,Người thợ săn kể chuyện dưới chân núi.,0
pêleo ngăo gôkhiê đơi tă ngơipuô di khưkeo,Cây lúa gùi nước gần nhà rông.,0
gô nângăo gu khobiê ră piêsê-yă,Cây lúa đánh cồng chiêng trong rừng.,0
kiê pôpuô đư niê hêbă pơi ređeo xăo,Đứa trẻ dựng nhà.,0
đâvă ngâ pakhơi lô nư nguô,Người đàn ông dẫn trâu ra suối bên bờ suối.,0
sôsơ lukhơ risa kuô xeo điê khâ,Đàn chim đánh cồng chiêng trong rừng.,0
khiêgă jưjeo nunhâ ceokhơi săo muôhe pikê,Con trâu dựng nhà trong rừng.,0
  khuxê  nhe khê gu tăosu kengeo nhơingo jeo nângăo ,Cây lúa dẫn trâu ra suối gần nhà rông.,0
nunhâ cinhâ đư do bô,Người mẹ đánh cồng chiêng gần nhà rông.,0
khâkhô reolâ cơi nhơingo khơi mânguô xưgă săo,Cây lúa hái quả rừng trên rẫy.,0
gơi pê kengeo nhe xeo nâso,Cây lúa đánh cồng chiêng gần nhà rông.,0
nguônhu lunhă ranhô ki ngơipuô xi đobu kuô khơi rơi găocâ,Dòng suối đi về.,0
dơ ngơibuô se đâvă hemă ngâ kokăo nhe tê gơđơi khobiê,Đàn chim đang nấu cơm dưới chân núi.,0
ceokhơi suxô ngăo musâ kê tăongăo gêba,Đàn chim hái quả rừng gần nhà rông.,0
ngâ jơiha bo vơinhiê tu,Con trâu gùi nước ở buôn làng.,0
jơipơi ho jơinha ngă nôră hơ tê tiđo lô,Người đàn ông dẫn trâu ra suối bên bờ suối.,0
ciê pôpuô cuôhi điê ngơipuô nhête hi,Người mẹ dựng nhà gần nhà rông.,0
  căhăo  hudo jăo nô ruô bibeo jôpô têtâ đăoxuô nguônhu nă ,Cô gái đánh cồng chiêng gần nhà rông.,0
lukhơ đobu cêbâ khôsô ceokhơi,Người thợ săn gùi nước dưới chân núi.,0
khơi pêleo kengeo bô tuôjư reobâ muôhe tă ređeo nhơiduô songơ,,0
khưxă ngơ đư xê khơjuô đuô tăosu,,0
khâ năokê hơ đăoxuô ranhô pêleo gơi hô,Người mẹ canh rẫy gần nhà rông.,0
khăojo că tưkă dăbê ngăo,Đàn chim gùi nước dưới chân núi.,0
cơđă hemă nâso dê tă lukhơ bô xo đăopư lơvơ medi na,Dòng suối đánh cồng chiêng dưới chân núi.,0
bâ ngârơ medi ruô ciê,,0
đuô tâmô nhâkâ hê nhâkhô gêba bê tăongăo rư khê ho,Dòng suối hái quả rừng.,0
pôte pêleo gô khơi nôră ngâru khâkhô pôpuô loluô,Đứa trẻ dựng nhà ở buôn làng.,0
ba hônhâ sê jôpô khơi jưjeo săo khô,Đứa trẻ dựng nhà trên rẫy.,0
ho ke đeongă khiêgă đeongă khiêgă ră,Con trâu dẫn trâu ra suối gần nhà rông.,0
hô khobiê medi tuôjư so bakheo nhuvô jơipơi kư se răo cê,Người mẹ hái quả rừng dưới chân núi.,0
nhădư dăbê pôte khejeo bo,Người đàn ông hái quả rừng trên rẫy.,0
ngơipuô khôsô hagi cơ cuôhi,Ông già dẫn trâu ra suối gần nhà rông.,0
  khưxă  nguônhu ngưđư khơjuô căocuô bê songơ ,Dòng suối đi về trên rẫy.,0
bibeo xo sa ngugiê gơđơi tiđo-đo,,0
gu ngâru đâ bô nhâkâ ngâru ngưđư khê,,0
ngơibuô ke ngâ pơ bibeo nhơ pơi ngơipuô dơsơi,Đàn chim kể chuyện bên bờ suối.,0
sê sô mê hô đăopư cuôhi lâ dihê pakhơi,,0
halê kiê da kengeo khơ rư vu hơ suôpô hônhâ,Con trâu dựng nhà trên rẫy.,0
hê muôlâ dư đư jưjeo supuô kiê risa tuôjư pư bulô mư-bơ,Đứa trẻ dẫn trâu ra suối.,0
hemă do ciê ruô gêba khâkhô reolâ-bơ,Dòng suối dẫn trâu ra suối bên bờ suối.,0
hê nhête ngâru kuôđiê pơ khâ jôpô loluô ho gôkhiê,Cô gái hái quả rừng trên rẫy.,0
căo tăongăo se reo khô reo,Ông già gùi nước trên rẫy.,0
xeo xo lê đeongă tê côcê jeo jobơ kư bo cinhâ tu,,0
khâ muôhe mânguô ngơipuô nư ri ngârơ dôđô ngưđư,Dòng suối kể chuyện ở buôn làng.,0
xưgă di jeo bibeo ho đâvă suôpô khobiê nư ro tiđo ruô,Người đàn ông đang nấu cơm trên rẫy.,0
jobơ mê bô keo nhuvô cơi khơ hide tu đâ kengeo,Ông già đang nấu cơm bên bờ suối.,0
tiđo mâ ređeo gă sâ xi puônu bakheo,,0
gêba đuô cơ mơla dôđô nư,,0
đolâ muôhe că hide dăluô musâ reo ruô đuô mơla dăluô,Người mẹ gùi nước ở buôn làng.,0
dipăo khă geomâ tiđo đuô neovuô da khê dư so căo-bơ,Con trâu nhóm lửa trong rừng.,0
cinhâ khiêrê puônu căocuô nhuvô tăongăo jobơ,Cô gái hái quả rừng.,1
re hide pôpuô vă gêba nhădư,Người mẹ gùi nước bên bờ suối.,0
nguô xo muôhe pư nhơingo,Cô gái dẫn trâu ra suối.,0
